station,region,state,station_code,first date,height,longitude,latitude
SERRINHA,NE,BA,A441,5/9/2008,339,-39.022946,-11.66444444
GAUCHA DO NORTE,CO,MT,A930,6/4/2008,379,-53.257366,-13.18472221
CORRENTINA,NE,BA,A416,11/9/2007,551.71,-44.61722221,-13.33222221
BATAGUASSU,CO,MS,A759,3/21/2013,392.13,-52.47055554,-21.750123
TOME ACU,N,PA,A213,10/14/2007,42.95,-48.36055555,-2.59249999
PONTES E LACERDA,CO,MT,A937,1/30/2008,272.53,-59.346215,-15.234582
CRUZ DAS ALMAS,NE,BA,A406,1/19/2003,225.87,-39.08944444,-12.65
JEREMOABO,NE,BA,A450,8/13/2015,261,-38.34583333,-10.08083332
FREDERICO WESTPHALEN,S,RS,A854,12/14/2007,490,-53.41277777,-27.39555555
FOZ DO IGUACU,S,PR,A846,2/15/2008,242,-54.48305554,-25.601834
MARACAJU,CO,MS,A731,12/15/2006,400,-55.177531,-21.609036
PICO DO COUTO,SE,RJ,A610,10/22/2006,1777,-43.29138888,-22.46472222
CAPELINHA,SE,MG,A541,8/31/2007,948,-42.38916666,-17.70527777
FLORIANOPOLIS,S,SC,A806,1/22/2003,4.87,-48.61999999,-27.6025
PIRACICABA,SE,SP,A726,9/26/2006,573,-47.62305554,-22.70277777
BEBDOURO,SE,SP,A764,10/27/2016,790,-48.48972221,-20.94916666
CRIOSFERA,SE,SP,C891,1/1/2020,1285,-79.49416666,-84
CAMBUCI,SE,RJ,A604,11/20/2002,46,-41.95,-21.56666666
PORTO ESTRELA,CO,MT,A935,5/30/2008,147.75,-57.22583332,-15.32472221
PARAGOMINAS,N,PA,A212,10/18/2007,113,-47.34305555,-2.99027777
GRAJAU,NE,MA,A207,9/10/2008,232.29,-46.15944444,-5.816085
Santa Vitoria do Palmar - Barra do Chui,S,RS,A899,3/8/2008,26,-53.37138888,-33.74166666
LAGUNA CARAPA,CO,MS,S711,4/12/2018,499,-55.16027777,-22.57527777
CANTO DO BURITI,NE,PI,A365,6/12/2010,312.07,-42.00888888,-8.11777777
CANGUCU,S,RS,A811,1/24/2007,462,-52.700699,-31.403299
COARI,N,AM,A117,4/12/2008,53,-63.14527777,-4.097483
APODI,NE,RN,A340,11/14/2007,150,-37.814991,-5.62638888
BARUERI,SE,SP,A755,3/29/2011,791,-46.86916666,-23.52333332
PEF IPIRANGA,N,AM,S102,12/1/2016,-9999,-69.69527777,-2.93055554
NOVA FATIMA,S,PR,A842,2/8/2007,668,-50.577744,-23.40694444
DOM PEDRITO,S,RS,A881,4/23/2010,150,-54.61805554,-31.0025
SAO PEDRO DO PIAUI,NE,PI,A362,5/20/2009,287,-42.7186111,-5.91111111
CUIABA,CO,MT,A901,12/8/2002,241.56,-56.062951,-15.55916666
CARACOL,NE,PI,A337,11/10/2007,523,-43.32444443,-9.28583333
CAMPO GRANDE,CO,MS,A702,9/10/2001,530,-54.6,-20.447195
PRES. KENNEDY,SE,ES,A622,6/18/2008,80,-41.03888888,-21.100805
FLORESTAL,SE,MG,A535,6/27/2008,753.5,-44.416883,-19.88527778
ANGRA DOS REIS,SE,RJ,A628,8/25/2017,6,-44.30333333,-22.975694
CANELA,S,RS,A879,8/23/2008,830.93,-50.82722221,-29.36888888
IMPERATRIZ,NE,MA,A225,3/1/2008,126,-47.45972222,-5.55555555
ENCRUZILHADA DO SUL,S,RS,A893,3/15/2018,427.75,-52.52472221,-30.54305555
MACAPA,N,AP,A249,12/12/2013,27,-51.0886111,0.03527777
VACARIA,S,RS,A880,4/26/2008,986,-50.882738,-28.513602
MONTE VERDE,SE,MG,A509,12/19/2004,1544.89,-46.04333333,-22.86138888
SAO MATEUS DO SUL,S,PR,A874,4/17/2011,788,-50.3686111,-25.83499999
CHAPADINHA,NE,MA,A206,9/17/2008,104,-43.35194444,-3.742674
GOIANIA,CO,GO,A002,5/29/2001,770,-49.21999999,-16.64277777
BRASILANDIA,CO,MS,S705,4/6/2018,345,-52.06888888,-21.298278
ABROLHOS,NE,BA,A422,7/21/2008,25,-38.6961111,-17.963016
CAMPINA GRANDE,NE,PB,A313,12/22/2006,547.56,-35.88888888,-7.225574
NATAL,NE,RN,A304,2/24/2003,48.6,-35.2,-5.83722221
BRAGANCA PAULISTA,SE,SP,A744,12/20/2017,891,-46.530472,-22.951944
RANCHO QUEIMADO,S,SC,A870,5/31/2016,881,-49.04194444,-27.678507
PORTO SEGURO,NE,BA,A427,7/10/2008,86.36,-39.182389,-16.388977
UAUA,NE,BA,A435,5/20/2008,453,-39.49555555,-9.8336111
SURUBIM,NE,PE,A328,3/9/2008,421.44,-35.7961111,-7.83694444
GAMA (PONTE ALTA),CO,DF,A046,10/1/2014,990,-48.13749999,-15.93527777
QUIXADA,NE,CE,A369,3/20/2018,193,-39.057183,-4.978783
AGUAS EMENDADAS,CO,DF,A045,10/3/2008,1200,-47.625801,-15.59638888
VILA BELA DA SANTISSIMA TRINDADE,CO,MT,A922,12/1/2006,222,-59.87277777,-15.062696
ALVORADA DO GURGUEIA,NE,PI,A336,11/17/2007,270,-43.86472222,-8.44166666
CRUZEIRO DO SUL,N,AC,A108,5/14/2015,220,-72.405,-7.61055555
IPORA,CO,GO,A028,6/24/2013,625,-51.14805555,-16.42305554
DIVINOPOLIS,SE,MG,A564,10/26/2017,796,-44.87472221,-20.17305554
EPITACIOLANDIA,N,AC,A140,9/25/2009,224.5,-68.73499999,-11.0236111
TRES MARIAS,SE,MG,A528,8/25/2006,931.01,-45.45972222,-18.20055555
CARAVELAS,NE,BA,A405,12/20/2002,6.05,-39.25861111,-17.73333333
CAMPO MAIOR,NE,PI,A376,11/23/2018,125,-42.14555555,-4.86416666
TURIACU,NE,MA,A219,6/10/2008,41,-45.372571,-1.661224
OURINHOS,SE,SP,A716,8/29/2006,448,-49.89416666,-22.9486111
NOVA UBIRATA,CO,MT,A929,4/13/2008,518,-54.75222222,-13.41111111
PASSO FUNDO,S,RS,A839,11/27/2006,684.05,-52.403582,-28.226805
CONCEICAO DAS ALAGOAS,SE,MG,A520,7/18/2006,572.54,-48.15138888,-19.98583333
ITAOBIM,SE,MG,A550,9/5/2007,271.63,-41.48527777,-16.57555554
CASSILANDIA,CO,MS,A742,3/8/2008,516,-51.720732,-19.122471
BARCELOS,N,AM,A128,4/19/2008,42,-62.92416666,-0.95861111
SAO FELIX DO XINGU,N,PA,A216,11/15/2016,211,-51.95694444,-6.639622
LINS,SE,SP,A727,9/20/2006,460.65,-49.73416666,-21.66527777
ALTO PARNAIBA,NE,MA,A223,6/3/2008,283.69,-45.93194443,-9.10805555
IPANGUACU,NE,RN,A372,11/8/2017,19,-36.87222221,-5.534867
EB_PEF_BONFIM,SE,MG,S122,12/1/2016,-9999,-59.82388888,3.35888888
BAMBUI,SE,MG,A565,11/23/2016,697,-46.00861111,-20.0311111
TUCUMA,N,PA,A234,7/18/2008,320.93,-51.141899,-6.743208
TERESOPOLIS,SE,RJ,A618,11/1/2006,980,-42.98722221,-22.44888888
SOROCABA,SE,SP,A713,8/22/2006,609.33,-47.585552,-23.35
BOM JESUS DA LAPA,NE,BA,A418,5/18/2007,447.75,-43.18416666,-13.251094
IPIAU,NE,BA,A445,6/30/2009,132.11,-39.69249999,-14.171304
ITABAIANA,NE,SE,A451,4/24/2017,213,-37.47138888,-10.67166666
