station,region,state,station_code,first date,height,longitude,latitude
ALMENARA,SE,MG,A508,12/15/2002,194,-40.687756,-16.16666666
SAO MIGUEL ARCANJO,SE,SP,A715,8/15/2006,678,-48.16444444,-23.85138888
PARATI,SE,RJ,A619,11/19/2006,5,-44.72666666,-23.22333332
ITAPOA,S,SC,A851,6/6/2007,6.18,-48.64166666,-26.0811111
MINEIROS,CO,GO,A026,11/24/2007,862,-52.60111111,-17.45472222
XEREM,SE,RJ,A603,10/21/2002,33,-43.28222221,-22.58972221
CIDADE GAUCHA,S,PR,A869,3/11/2008,381,-52.931912,-23.359156
RIO VERDE,CO,GO,A025,5/17/2007,782,-50.964869,-17.785303
PACARAIMA,N,RR,S114,12/1/2016,-9999,-61.14916666,4.47749999
PASSOS,SE,MG,A516,7/16/2006,784,-46.63388888,-20.74499999
SAO ROMAO,SE,MG,A547,6/30/2007,490.29,-45.123801,-16.3625
QUIXERAMOBIM,NE,CE,A325,7/9/2007,232,-39.28722221,-5.17305554
BOM JESUS DO PIAUI,NE,PI,A326,7/17/2007,415,-44.31666666,-9.083251
ESPINOSA,SE,MG,A543,11/14/2007,569.64,-42.808473,-14.91222222
ULIANOPOLIS,N,PA,S111,12/1/2016,-9999,-47.51,-3.8
MANTENA,SE,MG,A540,8/1/2007,254.91,-40.98583333,-18.78027777
ITAMARAJU,NE,BA,A455,5/28/2016,110,-39.550861,-17.00694444
XANXERE,S,SC,A858,3/15/2008,889,-52.39809,-26.9386111
MINA DO PALITO,N,PA,A246,9/28/2010,261,-55.78722221,-6.31972221
INDAIAL,S,SC,A817,7/2/2006,86.13,-49.26749999,-26.91361111
PREGUICAS,NE,MA,A218,11/22/2008,4.62,-42.70722222,-2.592341
MARIANOPOLIS DO TO,N,TO,A041,11/24/2012,203,-49.723333,-9.576389
SALTO DO CEU,CO,MT,A936,1/24/2008,303,-58.115,-15.12472221
MACHADO,SE,MG,A567,7/21/2017,969,-45.944389,-21.680722
JAGUARAO,S,RS,A836,1/9/2007,47,-53.37583332,-32.53472221
ANGICAL DO PIAUI,NE,PI,A377,11/14/2019,183,-42.72749999,-6.08944444
NOVA FRIBURGO - SALINAS,SE,RJ,A624,1/1/2019,1070,-42.67694443,-22.33472221
MARAMBAIA,SE,RJ,A602,11/8/2002,9.7,-43.6,-23.05
BAGE,S,RS,A827,1/4/2007,230,-54.013292,-31.34777777
SOBRAL,NE,CE,A306,2/12/2003,109.62,-40.34555555,-3.73166666
MORRINHOS,CO,GO,A003,5/25/2001,771.42,-49.1,-17.71666667
BARRETOS,SE,SP,A748,6/19/2010,534.36,-48.54472221,-20.55888888
ARRAIAL DO CABO,SE,RJ,A606,9/24/2006,5,-42.01666666,-22.97527777
NOVO REPARTIMENTO,N,PA,A235,7/23/2008,106,-49.939308,-4.23444444
VITORIA DA CONQUISTA,NE,BA,A414,6/1/2007,879.38,-40.80133,-14.8861111
PARINTINS,N,AM,A123,4/11/2008,52,-56.75472222,-2.639152
CRMN MANAUS,N,AM,S103,12/1/2016,-9999,-60.05555555,-3.02249999
SAO RAIMUNDO NONATO,NE,PI,A345,2/27/2008,402,-42.70055555,-9.03305554
MARAU,NE,BA,A438,6/22/2008,10,-38.97222,-13.90694
RIO PARDO DE MINAS,SE,MG,A551,11/17/2007,950,-42.43527777,-15.72277777
COMODORO,CO,MT,A913,11/28/2006,591,-59.7625,-13.70805555
SANTA RITA DO PARDO,CO,MS,S716,2/19/2018,383,-52.82027777,-21.30583333
RIO GRANDE,S,RS,A802,11/16/2001,4.92,-52.1,-32.03333333
COXIM,CO,MS,A720,11/6/2006,252,-54.73583333,-18.51222222
SAO JOAO DO PIAUI,NE,PI,A331,8/26/2007,235,-42.25083333,-8.36444444
PIATA,NE,BA,A430,5/3/2008,1290,-41.774125,-13.155681
OURICURI,NE,PE,A366,8/11/2010,464,-40.10111111,-7.88472221
BOA VISTA,N,RR,A135,8/26/2010,94,-60.690821,2.81694443
PRESIDENTE PRUDENTE,SE,SP,A707,2/4/2003,435.55,-51.4,-22.119867
ITAPIPOCA,NE,CE,A359,9/5/2008,104.49,-39.58833333,-3.48388888
RIO DE JANEIRO - VILA MILITAR,SE,RJ,A621,1/1/2019,30.43,-43.41138888,-22.86138888
JANUARIA,SE,MG,A559,6/23/2016,480,-44.366313,-15.44805555
BARRA DO TURVO,SE,SP,A746,7/3/2008,667,-48.41638888,-24.96277777
MARIA DA FE,SE,MG,A531,12/1/2006,1281.43,-45.37277777,-22.31444444
MORRETES,S,PR,A873,3/13/2008,59,-48.80861111,-25.508935
AGUAS VERMELHAS,SE,MG,A549,9/9/2007,754.07,-41.457787,-15.751536
CRUZ ALTA,S,RS,A853,5/31/2007,432,-53.673597,-28.60344
PRESIDENTE FIGUEIREDO,N,AM,A126,4/19/2008,92,-60.025756,-2.056558
PARANOA (COOPA-DF),CO,DF,A047,2/7/2017,1043,-47.557417,-16.01111111
CALCANHAR,NE,RN,A344,5/8/2008,17,-35.45416666,-5.159925
NOVA ALVORADA DO SUL,CO,MS,S712,2/23/2018,5,-54.34194444,-21.450972
CURVELO,SE,MG,A538,12/18/2006,670,-44.45361111,-18.747711
ESTREITO,NE,MA,A224,2/27/2008,182.96,-47.41833332,-6.65333333
BRAGANCA,N,PA,A226,3/11/2008,41,-46.78277777,-1.04527777
TANGARA DA SERRA,CO,MT,A902,12/11/2002,440.01,-57.41666666,-14.65
SINOP,CO,MT,A917,10/29/2006,371,-55.56583333,-11.98222221
SAO GABRIEL DO OESTE,CO,MS,A732,12/18/2006,647,-54.55305555,-19.42027777
JAGUARUANA,NE,CE,A339,11/10/2007,49,-37.76666666,-4.78694444
SETE QUEDAS,CO,MS,A751,6/3/2008,402,-55.02416666,-23.96694443
NITEROI,SE,RJ,A627,7/13/2018,6,-43.10194444,-22.867389
DIANOPOLIS,N,TO,A038,8/30/2008,732,-46.847209,-11.59416666
SAO SEBASTIAO,SE,SP,A767,10/25/2017,24,-45.4025,-23.810722
FATIMA DO SUL,CO,MS,S708,2/28/2018,340,-54.325833,-22.30861111
MORADA NOVA,NE,CE,A332,8/24/2007,45.03,-38.35638888,-5.13638888
ARAGUATINS,N,TO,A044,3/12/2009,130.71,-48.11166666,-5.6436111
SAO MIGUEL DO OESTE,S,SC,A857,3/12/2008,665,-53.50444444,-26.77666666
ARIRANHA,SE,SP,A736,11/13/2007,525.44,-48.84027777,-21.13305554
SALVADOR,NE,BA,A401,5/13/2000,51.41,-38.50576,-13.005515
PIRES DO RIO,CO,GO,A033,10/12/2007,757.27,-48.28416666,-17.30416666
REMANSO,NE,BA,A423,3/26/2008,401,-42.077214,-9.60277777
MARINGA,S,PR,A835,11/21/2006,548.51,-51.91666666,-23.40527777
MEDICILANDIA,N,PA,A209,2/17/2008,251.68,-52.96345,-3.51083333
ITAQUIRAI,CO,MS,A752,5/28/2008,337.82,-54.18166666,-23.44944444
EDEIA,CO,GO,A029,8/26/2017,608,-49.91472222,-17.33694444
LAGOA DA CONFUSAO,N,TO,A055,11/15/2016,178,-49.84777777,-10.80833333
LENCOIS,NE,BA,A425,4/5/2008,438.74,-41.388808,-12.55722222
TRES LAGOAS,CO,MS,A704,9/3/2001,328.94,-51.712222,-20.783333
CAMARATUBA,NE,PB,A352,5/4/2008,136,-35.13472221,-6.56083333
ANGELICA,CO,MS,S701,4/9/2018,347,-53.76361111,-22.14805555
SAO BORJA,S,RS,A830,7/21/2007,83,-56.01555555,-28.64944444
SANTA MARIA,S,RS,A803,11/26/2001,103.1,-53.70361111,-29.70833333
SAO GABRIEL,S,RS,A832,7/11/2007,126,-54.31083333,-30.34138888
SERRA TALHADA,NE,PE,A350,7/9/2008,499.02,-38.29472221,-7.95361111
NOSSA SENHORA DA GLORIA,NE,SE,A453,3/24/2017,271,-37.43194443,-10.20777777
SONORA,CO,MS,A761,11/30/2012,495.25,-54.45361111,-17.63527777
ALTO PARAISO DE GOIAS,CO,GO,A024,6/4/2007,1264.7,-47.52305554,-14.13305554
JARDIM,CO,MS,A758,8/4/2011,252.47,-56.13694444,-21.47833332
JOAO PINHEIRO,SE,MG,A553,7/7/2007,877.05,-46.11916666,-17.784477
JOACABA,S,SC,A841,9/20/2007,776,-51.55888888,-27.16916666
RIBAS DO RIO PARDO,CO,MS,S715,1/18/2018,442,-53.763028,-20.46666666
CACOAL,N,RO,A939,7/20/2008,210,-61.434146,-11.44583333
TUPANCIRETA,S,RS,A886,8/11/2016,462,-53.82665025,-29.0893814
SEROPEDICA-ECOLOGIA AGRICOLA,SE,RJ,A601,1/1/2019,35,-43.68472221,-22.75777777
CAMPO NOVO DOS PARECIS,CO,MT,A905,12/13/2002,570,-57.83333333,-13.78333333
URUSSANGA,S,SC,A814,5/29/2008,48,-49.31527777,-28.53249999
AMARGOSA,NE,BA,A434,7/11/2008,407,-39.616881,-13.00944444
CAROLINA,NE,MA,A205,12/4/2007,192,-47.45972222,-7.33722221
SANTA ROSA DO TOCANTINS,N,TO,A052,8/14/2015,306,-48.184889,-11.04638888
CHAPADA GAUCHA,SE,MG,A548,6/22/2007,880,-45.61666666,-15.300159
CRISTALINA (FAZENDA SANTA MONICA),CO,GO,A056,1/25/2018,932,-47.62583332,-16.39944444
UNA,NE,BA,A437,6/25/2008,74.08,-39.0911111,-15.27999999
RIO BRANCO,N,AC,A104,7/11/2008,223.52,-68.165,-9.95777777
PARAUNA,CO,GO,A027,3/29/2008,678.74,-50.42527777,-16.94583333
QUARAI,S,RS,A831,10/17/2007,124,-56.437115,-30.368578
CRATEUS,NE,CE,A342,12/11/2008,298.19,-40.66999999,-5.1861111
VILA MILITAR,SE,RJ,A621,4/13/2007,45,-43.41111111,-22.86083333
SAO SIMAO,SE,SP,A770,7/3/2019,620,-47.57944443,-21.46111111
PALMARES,NE,PE,A357,9/4/2008,180,-35.56805554,-8.66638888
GUANAMBI,NE,BA,A426,4/24/2008,882,-42.74944444,-14.20805555
JAGUARIBE,NE,CE,A358,9/10/2008,184,-38.62777777,-5.90527777
LABREA,N,AM,A111,7/27/2008,64,-64.788501,-7.26055555
VICOSA,SE,MG,A510,9/15/2005,712.2,-42.86388888,-20.762607
BACABAL,NE,MA,A220,7/9/2008,28,-44.794993,-4.24305555
RIO NEGRINHO,S,SC,A862,3/22/2008,869,-49.58055554,-26.248411
VENDA NOVA DO IMIGRANTE,SE,ES,A633,2/10/2017,722,-41.189934,-20.25222222
CAMPOS DOS GOYTACAZES,SE,RJ,A607,1/1/2019,17,-41.34388888,-21.71472222
NOVA FRIBURGO,SE,RJ,A624,9/17/2010,1046,-42.67722221,-22.33305554
CARUARU,NE,PE,A341,11/21/2007,852,-35.98583333,-8.2361111
BAIXA GRANDE DO RIBEIRO,NE,PI,A375,3/23/2018,519,-45.094625,-8.333531
PARQUE ESTADUAL CHANDLESS,N,AC,A102,8/5/2008,187,-69.92638888,-9.3575
OLIVEIRA,SE,MG,A570,10/19/2017,1025,-44.86444444,-20.71472222
URUCARA,N,AM,A124,4/17/2008,18.49,-57.758099,-2.534749
MACAE,SE,RJ,A608,9/22/2006,32,-41.81194444,-22.3761111
NHUMIRIM,CO,MS,A717,8/2/2006,102.26,-56.62277777,-18.9886111
JATAI,CO,GO,A016,5/23/2007,670.08,-51.717467,-17.923622
UNAI,SE,MG,A542,6/16/2007,640.85,-46.881935,-16.55388888
TEUTONIA,S,RS,A882,10/4/2012,81,-51.82416666,-29.45027777
AMAMBAI,CO,MS,A750,6/11/2008,433.59,-55.32944443,-23.0025
BALSAS,NE,MA,A204,10/26/2007,271.03,-46.02749999,-7.45527777
ITUMBIARA,CO,GO,A035,11/1/2007,491.17,-49.19194444,-18.40972222
JALES,SE,SP,A733,8/22/2007,460.44,-50.59499999,-20.165
APIACAS,CO,MT,A910,10/24/2006,220,-57.3936111,-9.56333333
SOLEDADE,S,RS,A837,3/1/2008,667,-52.542387,-28.85361111
SERRA NOVA DOURADA,CO,MT,A943,3/29/2019,441,-51.4261111,-11.98777777
MARILANDIA,SE,ES,A632,3/22/2017,95,-40.53972221,-19.407181
CAMPOS DOS GOYTACAZES - SAO TOME,SE,RJ,A620,1/1/2019,7,-41.05166666,-22.04166666
MARECHAL THAUMATURGO,N,AC,A137,10/27/2009,230,-72.78666666,-8.95
JACOBINA,NE,BA,A440,5/1/2008,453,-40.465,-11.205
OEIRAS,NE,PI,A354,7/22/2008,156,-42.146831,-6.974135
AIMORES,SE,MG,A534,8/5/2007,287.74,-41.090801,-19.532768
NOVA MARINGA,CO,MT,A928,4/16/2008,353,-57.092201,-13.038642
PRIMAVERA DO LESTE,CO,MT,A923,10/26/2017,680,-54.3811111,-15.57999999
BARRA DO CORDA,NE,MA,A221,3/6/2008,154.19,-45.23694444,-5.50666666
TRES RIOS,SE,RJ,A625,6/8/2016,305,-43.20833333,-22.09833333
TIMOTEO,SE,MG,A511,2/22/2006,493.42,-42.62222221,-19.5736111
CURITIBANOS,S,SC,A860,2/28/2008,978.1,-50.60416666,-27.2886111
MAL. CANDIDO RONDON,S,PR,A820,11/18/2006,392.07,-54.01916666,-24.533303
CAMETA,N,PA,A236,6/20/2008,22,-49.49305555,-2.239653
GENERAL CARNEIRO,S,PR,A875,4/30/2008,1018,-51.35361111,-26.398473
CASTELO DO PIAUI,NE,PI,A361,4/20/2009,286,-41.51222222,-5.34916666
SAQUAREMA,SE,RJ,A667,9/2/2015,16,-42.60916666,-22.8711111
COLOMBO,S,PR,B806,6/1/2016,950,-49.1575,-25.32222221
BRAZLANDIA,CO,DF,A042,7/19/2017,1143,-48.1311111,-15.59972221
TERESINA,NE,PI,A312,11/24/2004,75.23,-42.801341,-5.03472221
SALINOPOLIS,N,PA,A215,6/14/2008,41,-47.356596,-0.6186111
SELVIRIA,CO,MS,S717,4/5/2018,374,-51.430222,-20.35138888
CAMPOS NOVOS,S,SC,A898,2/15/2019,963,-51.21583333,-27.3886111
ZE DOCA,NE,MA,A255,9/18/2019,45.5,-45.65111111,-3.26916666
VALENCA DO PIAUI,NE,PI,A363,4/18/2009,313.39,-41.739953,-6.39916666
SAO JOAQUIM,S,SC,A815,4/12/2008,1410,-49.93444444,-28.27555554
JUINA,CO,MT,A920,11/24/2006,365.39,-58.73305554,-11.36694443
URUCUI,NE,PI,A346,3/6/2008,398.83,-44.34472221,-7.44142
FORMOSO DO RIO PRETO,NE,BA,A452,6/2/2016,488,-45.200769,-11.052164
PORTO ALEGRE,S,RS,A801,9/22/2000,46.97,-51.16666666,-30.05
PORTO VELHO,N,RO,A925,7/11/2007,98,-63.47499999,-8.76388888
