wind gust max (m/s)
2.6
1.9
3.0
2.0
6.1
4.5
8.0
8.2
3.5
1.3
8.1
1.4
2.7
2.5
5.7
9.5
1.2
6.5
1.6
5.3
5.9
8.3
9.1
1.7
3.1
5.5
5.6
3.4
7.1
4.9
4.2
2.4
4.1
4.0
0.0
7.9
6.3
2.8
6.0
1.8
0.8
5.2
2.3
1.5
7.5
8.5
6.2
9.9
6.6
8.4
9.3
9.4
3.6
6.9
1.1
10.6
8.8
4.4
3.3
7.0
5.4
4.6
5.1
5.0
7.4
1.0
9.6
3.9
7.3
4.3
7.6
3.2
7.8
10.5
2.9
3.8
10.1
4.8
4.7
7.7
8.9
15.3
3.7
35.1
2.2
7.2
2.1
9.0
6.8
6.4
9.7
13.2
10.7
0.9
5.8
10.3
12.7
16.6
13.5
6.7
10.0
11.7
9.8
8.6
12.1
10.9
0.6
0.3
11.0
19.4
11.3
12.4
0.7
10.8
0.4
12.5
11.6
10.2
72.9
17.6
19.7
8.7
11.8
13.8
9.2
12.8
16.3
11.9
15.9
75.7
0.1
65.3
11.2
11.1
13.1
0.5
10.4
68.3
0.2
11.5
14.3
15.6
12.2
12.6
14.4
14.5
11.4
18.2
14.0
13.3
13.0
15.0
14.6
32.1
14.1
16.4
88.4
