max. temperature in the previous hour (°c)
24.9
23.3
25.0
14.1
23.6
30.5
19.9
18.2
20.5
28.3
29.4
27.3
27.1
25.3
28.5
21.2
33.6
29.8
24.3
25.6
23.8
28.8
22.9
23.9
28.4
28.7
22.7
21.6
25.2
21.7
34.6
18.7
19.4
32.4
0.0
24.4
26.5
26.1
23.4
29.1
15.8
33.5
24.1
29.5
20.4
27.6
21.1
26.3
28.1
19.1
22.6
24.0
21.9
30.6
31.9
29.2
29.3
12.3
22.2
27.7
27.4
20.0
24.8
22.5
29.6
34.1
25.8
27.2
25.1
31.5
21.4
23.0
20.2
11.9
19.6
17.7
26.8
24.7
30.1
17.3
24.6
28.2
17.9
26.6
24.5
16.6
17.0
21.0
25.5
20.8
31.3
23.5
30.7
25.7
25.4
8.4
13.2
29.7
9.7
16.1
28.0
15.6
31.0
22.3
33.4
17.4
27.9
18.6
30.8
32.2
18.8
31.7
26.2
29.9
12.9
15.5
16.7
21.8
18.4
27.8
20.9
29.0
18.1
17.2
19.0
26.9
32.0
23.7
20.1
20.6
22.0
31.2
30.0
18.0
19.3
32.3
28.9
20.7
22.8
11.5
33.9
21.5
16.5
17.6
8.3
26.0
15.9
25.9
17.1
5.8
11.1
20.3
27.0
17.5
15.4
31.4
32.7
19.5
6.9
21.3
17.8
15.3
15.2
30.2
28.6
14.9
22.4
-1.6
26.4
35.9
32.8
34.2
23.1
14.8
19.2
22.1
31.1
16.8
23.2
19.7
15.7
12.1
18.5
24.2
26.7
33.1
13.3
18.9
13.8
15.0
4.9
32.5
30.4
32.1
16.0
12.8
16.9
7.6
30.3
34.5
16.4
33.2
19.8
36.9
13.4
31.8
13.9
30.9
14.7
10.5
18.3
35.2
36.2
14.2
35.4
33.3
33.7
32.9
13.5
12.2
31.6
13.7
8.5
36.8
6.8
37.2
14.4
27.5
35.8
6.5
14.5
9.4
35.0
14.3
3.2
37.0
36.1
13.1
36.0
12.4
9.1
35.1
36.3
15.1
2.1
38.3
10.8
13.0
33.0
32.6
12.7
34.0
34.4
7.8
4.3
16.2
9.8
35.3
11.3
5.1
33.8
10.2
37.6
11.4
14.6
12.0
36.7
8.7
34.8
34.3
11.0
11.2
34.9
35.6
8.6
11.8
34.7
13.6
16.3
-1.5
-1.1
38.2
10.7
35.5
12.5
37.8
36.5
11.7
14.0
7.3
