radiation (kj/m2)
0
129
2495
959
1927
3076
2838
655
869
1784
617
2438
1517
3319
3444
451
994
1469
2240
1593
79
36
2956
786
633
377
3373
472
2023
3515
2503
2979
2822
38
231
130
301
2934
830
1503
897
1382
416
1823
2618
1814
2594
2824
1447
2533
3826
26
1017
3501
1099
117
179
1084
254
128
3614
2623
1458
17
63
1156
507
501
1865
124
293
1934
685
1149
512
1838
1562
367
1155
78
1
1654
3139
327
975
2957
1648
624
13
3333
2471
46
33
1080
2481
643
289
1911
1027
776
6
812
1662
1065
43
3035
1530
3736
9
306
3096
164
125
1394
963
2182
2353
1948
1976
1978
82
2459
15
303
1917
703
2297
1854
74
1590
400
1628
421
25
1405
1358
1480
3181
343
3480
484
32
781
3057
3749
211
730
2079
1587
3171
1300
81
3416
1212
477
2190
613
2431
1355
115
443
2324
2033
899
3377
2052
1979
2596
186
532
1891
269
1719
1870
2085
2922
12
1043
2369
882
1102
1056
24
1267
873
1884
509
495
1997
985
171
2984
727
2378
780
1110
1081
2909
304
375
2507
1599
2461
733
104
523
1078
16
191
2775
519
592
2516
956
219
459
4
2580
919
1451
1444
19
580
2936
3423
1611
536
1925
2321
1498
20
2877
2064
2572
1510
3042
929
2605
3078
71
3157
55
3216
578
3335
1096
777
815
50
1366
3367
54
910
2539
2125
3675
3
819
541
2008
1454
1790
609
1607
2519
2024
2165
2885
1618
1820
2692
1549
1646
95
3272
3405
2280
225
480
1899
2745
239
1852
320
91
247
18
1088
461
3231
658
23
1154
561
2179
1572
3472
2680
66
1001
5
530
3654
3541
496
610
3310
255
1506
3031
2316
992
2389
425
2221
11
3225
120
693
802
2882
2364
1468
3549
977
2088
364
447
2136
1142
3766
85
901
2453
449
57
2069
3650
89
724
21
1165
105
1994
2
1762
1114
3168
2627
212
114
1101
99
346
705
867
3331
64
2119
3243
1176
2513
203
1866
1465
213
168
875
10
2773
1058
34
2102
1584
1592
422
636
723
3099
720
3798
504
3321
147
1448
8
1008
1143
442
107
2093
668
1567
2953
997
466
41
184
2413
1722
260
27
123
600
2801
1904
157
428
687
576
2475
1824
1398
1100
1126
2065
2198
1187
3301
162
487
3183
3490
1526
253
2223
3411
3200
276
2175
744
373
53
185
2120
2158
3360
2010
2647
56
494
452
478
1757
1995
2686
3810
2997
1827
2649
3404
3562
2560
2761
3340
1772
3391
2111
3428
2330
87
598
2557
2668
2462
159
2015
931
2554
516
3070
1676
962
1299
1067
1064
1230
3582
506
1385
837
430
680
2836
2805
2071
356
900
526
2029
2217
1751
2616
2499
2678
2815
2636
217
2889
296
75
318
1184
65
3085
2567
429
67
173
514
354
1642
1908
121
1893
3172
229
2494
154
757
1310
334
2457
849
621
70
1104
3061
1509
434
518
936
2725
599
1076
2749
1965
1696
1204
2667
1552
2169
3008
1293
290
527
2802
3525
754
545
1745
689
2969
2633
1664
2002
840
45
1190
2424
106
623
42
2574
970
887
2777
1376
3635
1777
1729
1115
1712
342
1706
1283
2757
1883
62
591
1473
2645
1493
2104
3220
330
1157
1168
392
4106
40
199
1306
3733
1431
3082
2923
1730
3368
508
1475
1624
3609
2876
2100
180
2733
438
559
351
1902
2059
907
453
1269
2642
1568
2846
785
3459
3446
1121
48
3363
553
2236
3296
2782
2044
1173
608
585
2436
1956
2769
3072
1561
30
2132
2150
3067
3199
86
3438
166
232
3203
424
2991
1483
1459
196
2105
2328
1726
965
418
2134
1923
2372
440
3179
2107
926
403
987
404
2433
3451
3143
2073
80
1796
3112
614
3701
2458
1704
664
836
3387
195
2122
1436
3859
820
455
1401
3184
505
1842
1453
2588
925
2550
2566
681
1603
278
3762
651
29
333
58
135
3338
3190
1320
569
262
3588
2528
2384
181
1537
2694
307
1029
593
1135
2610
139
1496
96
2116
1708
3052
1416
14
1006
1807
51
395
2036
2279
2617
2377
3240
131
2271
2399
257
245
1254
93
2993
568
3461
439
3467
2506
659
3235
984
2181
794
1139
729
1523
3524
903
215
389
3960
160
1479
939
686
163
2154
2014
3080
1635
1046
755
1647
2832
3341
2352
2828
2028
2184
2721
489
1352
1649
2423
1821
22
3295
1727
280
470
2861
637
2500
2982
3732
1792
2135
365
2487
7
1564
1252
204
1913
3185
524
238
218
4069
1488
2172
363
2092
653
235
1501
2621
948
3647
2255
571
2944
299
791
1241
1769
1942
3111
2269
3731
214
1087
2752
1258
233
152
2275
1787
108
1265
319
3754
313
2103
474
3717
2821
1197
1477
2527
1485
1594
3314
336
2401
1972
795
3897
2727
353
3227
543
2799
406
960
3704
1105
2630
551
2366
156
3197
2677
3128
2651
2735
3288
1224
2282
344
3627
414
37
49
2208
1984
1010
2149
1181
1850
44
2714
1111
2855
3409
1000
380
2576
492
1180
1011
1321
1374
1040
432
3208
712
798
2611
2689
753
2397
3591
2260
3998
1874
2196
2525
642
3325
2831
3613
2299
648
3652
1987
3342
3648
3644
446
228
118
52
880
2473
2203
1785
856
2205
111
284
2340
828
2498
340
3116
2586
3607
3655
2578
2562
1709
3145
230
2813
537
3616
807
1608
675
84
2778
1386
941
283
3123
1305
3768
3250
3278
1694
370
3248
3538
670
317
2267
3636
2910
1266
433
1673
92
122
331
2455
2338
2571
716
2648
2857
188
2167
1810
144
357
2665
725
268
2043
1302
143
2672
3202
3175
4192
1003
1935
3075
699
137
2303
1764
345
2265
2565
1364
3024
853
1800
2171
1591
877
1408
100
3629
3178
3009
