air temperature - dry bulb (°c)
23.2
22.6
24.8
13.2
22.1
30.3
19.7
17.6
30.5
20.4
27.9
23.6
27.4
27.3
26.9
23.9
26.7
20.8
24.4
24.3
31.5
29.3
24.2
24.9
24.5
23.8
22.4
27.8
25.0
21.6
28.0
25.1
21.2
33.2
18.5
19.4
18.2
29.6
26.5
25.8
23.0
28.2
15.8
33.5
17.9
24.0
29.1
25.9
20.3
26.6
25.3
23.4
21.1
26.0
19.0
26.3
29.0
22.0
21.8
31.9
28.7
23.3
19.6
11.8
22.2
27.5
22.5
32.9
25.7
24.6
29.4
25.6
30.2
11.9
28.5
17.7
24.1
26.8
30.0
17.2
28.1
27.7
31.2
18.1
22.3
23.5
33.7
19.1
14.9
16.4
25.5
20.7
31.0
25.4
21.4
23.1
30.7
7.9
12.6
28.4
17.0
22.7
18.8
9.0
16.1
22.8
15.0
32.3
28.3
28.6
16.8
20.0
26.2
30.9
18.7
21.7
27.0
20.9
27.2
27.1
29.7
22.9
14.8
21.3
17.8
20.6
20.5
21.0
17.4
17.1
18.0
21.5
29.2
24.7
23.7
31.1
26.1
29.5
19.3
16.9
10.8
33.6
15.5
8.0
27.6
15.3
28.9
28.8
4.9
29.9
19.2
15.4
18.9
30.8
30.6
16.3
6.9
25.2
19.5
15.2
32.7
20.1
18.4
21.9
34.4
19.9
11.3
13.8
14.6
-2.0
35.9
32.5
19.8
13.1
26.4
16.2
34.6
16.0
32.4
20.2
13.3
16.7
18.3
10.9
18.6
13.7
14.2
32.1
4.0
30.4
7.6
17.5
32.8
33.4
31.3
29.8
36.9
13.0
13.6
14.4
31.8
10.5
11.5
30.1
13.9
31.4
31.6
32.6
17.3
31.7
34.2
12.1
36.0
8.1
36.4
35.0
15.7
6.2
36.5
12.3
15.1
32.0
35.2
34.1
6.5
9.4
33.1
34.3
13.4
2.9
37.0
13.5
33.8
35.6
12.4
10.6
35.1
14.5
2.1
12.8
14.7
10.1
9.2
34.7
11.2
32.2
12.5
12.7
15.6
34.8
14.1
10.2
7.1
3.1
16.6
12.2
15.9
35.3
14.0
16.5
11.1
4.7
8.9
12.0
1.0
12.9
11.4
11.7
33.3
36.3
9.3
34.0
33.0
8.7
10.4
35.5
36.2
14.3
7.7
34.9
34.5
-1.8
-1.7
37.7
35.8
33.9
11.6
11.0
8.2
9.7
36.7
36.1
36.6
35.4
