relative humidity min. in the previous hour (%)
0
85
56
66
51
48
68
61
93
49
84
82
40
91
45
62
33
73
78
77
96
44
71
89
43
57
67
75
63
64
94
83
36
92
70
86
38
72
50
74
79
95
23
55
58
87
65
69
81
90
39
52
47
30
76
54
80
97
53
59
88
37
46
42
60
41
98
28
31
26
35
34
24
25
32
27
29
22
16
12
