atmospheric pressure at the level of the pile (mb)
990.7
987.3
999.6
1015.0
1012.4
1007.1
994.2
1022.8
1005.7
989.2
1011.3
0.0
985.3
1006.1
992.1
1001.7
986.7
990.8
1013.7
1005.8
1010.0
1014.5
1008.0
1009.0
1006.5
1013.9
985.0
1003.7
988.8
991.5
1012.0
996.9
981.9
940.5
954.3
998.9
1015.5
1005.4
1011.0
987.6
1005.1
973.9
1004.4
1021.3
986.0
943.9
939.0
1004.0
1003.9
1007.5
1006.2
943.6
1012.5
1011.8
1014.7
1010.2
960.3
992.9
989.1
1006.6
982.3
1007.0
1003.4
897.4
1014.4
988.7
942.4
959.0
991.0
1003.8
941.7
1004.8
938.2
941.8
1001.2
1000.9
992.8
1009.7
992.3
989.7
1003.2
994.9
1012.7
1006.0
987.9
968.7
952.2
989.8
983.4
1003.3
1007.9
988.3
1006.4
987.2
991.7
996.5
937.4
1006.7
991.3
1017.1
1006.3
993.5
981.3
1006.8
985.1
985.9
1016.9
1002.2
1016.4
1011.6
955.0
1010.6
991.6
1011.5
984.2
982.0
987.4
1008.9
995.0
1005.0
1016.8
944.6
1013.0
984.3
960.7
1004.2
1012.1
940.0
941.0
1018.9
1021.5
1002.8
978.2
1002.1
1008.6
984.9
986.9
1004.6
1014.3
990.0
991.2
1005.2
1002.7
1003.0
1002.4
988.6
1008.8
1001.6
1014.1
999.1
1009.1
1014.0
939.3
1016.1
939.1
954.6
958.2
986.4
936.7
987.1
1014.2
1004.7
985.5
1004.3
1003.1
988.1
940.4
983.3
941.1
1010.4
1007.7
1018.4
1008.3
952.0
1005.6
991.4
982.1
981.1
986.1
992.4
1002.9
1017.4
978.0
1017.6
1016.0
1011.7
990.2
939.2
971.7
1009.6
1003.5
984.5
996.0
943.3
1002.6
1008.7
985.7
940.2
983.2
1001.9
959.2
996.7
981.5
1020.4
1005.9
1020.7
995.1
942.2
955.3
1007.8
995.9
940.7
1015.9
1007.4
1005.5
999.7
994.7
938.4
1009.3
997.9
992.2
1015.2
1021.8
981.8
1010.5
1022.2
1008.1
1009.9
1000.6
939.8
1005.3
1013.4
997.8
973.8
987.0
994.0
970.5
1017.0
945.2
988.5
1009.2
1000.2
993.0
1004.1
1012.3
1002.5
987.8
1008.5
983.9
1013.3
983.1
1000.7
1002.0
988.0
938.8
995.6
1004.9
994.4
992.6
1000.1
982.4
1001.8
971.0
1000.5
1003.6
1007.3
952.3
993.9
1012.2
959.4
935.9
1014.8
939.5
1007.6
944.1
990.4
1016.2
987.7
994.6
955.1
967.9
981.2
990.1
1009.4
1013.6
944.2
1009.8
967.2
1002.3
986.6
1006.9
1004.5
955.4
1021.2
979.5
986.8
992.7
1000.3
1001.1
1014.6
943.0
939.6
953.2
1017.7
999.4
953.7
984.1
1019.1
1019.5
980.8
1020.8
970.9
993.3
989.9
1010.7
991.8
941.2
959.7
998.1
978.9
1015.7
969.8
944.7
1009.5
997.0
981.4
999.9
977.1
1023.3
1008.4
898.1
987.5
1011.2
939.9
994.3
1007.2
986.3
1019.0
1010.8
960.2
1015.3
985.4
989.6
975.0
997.5
970.6
1001.3
1017.8
958.1
990.3
1001.0
942.3
938.6
937.0
897.8
1016.3
937.8
1000.0
1010.1
970.7
984.8
995.8
937.3
1013.8
997.1
994.1
992.0
935.2
1016.7
942.9
938.1
979.0
972.3
1015.4
1015.6
983.0
995.4
1008.2
1018.1
1000.8
947.0
943.7
959.3
976.5
982.9
956.3
942.5
982.8
1013.5
959.6
1013.2
1018.3
984.0
996.3
1011.4
984.7
1018.0
959.1
980.3
985.8
952.6
941.6
942.7
1019.2
944.4
958.5
974.8
899.6
1014.9
982.7
953.5
955.7
981.0
937.6
995.2
991.1
1010.9
989.4
974.2
993.2
956.2
937.2
956.0
993.6
943.1
955.6
991.9
979.9
1015.8
996.1
896.6
932.3
1020.9
979.6
983.7
998.8
1019.7
945.9
937.7
993.8
989.5
952.5
944.5
1015.1
994.8
999.8
942.8
984.6
960.1
999.3
942.1
941.3
957.1
986.2
983.8
984.4
1022.1
1019.9
1018.2
899.7
980.6
940.9
941.4
1021.1
990.9
974.4
983.5
960.4
938.7
980.7
979.2
1018.8
1023.6
981.7
947.5
983.6
943.2
1011.1
945.8
1013.1
896.9
946.0
948.4
961.0
998.5
958.3
1012.8
938.9
900.3
1019.6
952.8
996.2
897.7
1017.9
1019.8
1010.3
1018.5
1024.7
989.3
954.0
940.6
993.7
954.1
990.6
936.4
941.9
946.6
951.8
999.2
999.5
