relative humidity max. in the previous hour (%)
0
88
90
62
76
52
57
73
68
95
49
91
29
94
54
69
46
80
92
93
82
97
86
50
78
77
89
53
96
64
79
51
56
66
85
42
47
87
41
74
44
27
70
63
75
83
71
58
65
32
98
55
81
84
48
60
61
39
59
72
31
35
67
37
7
40
34
43
36
38
45
100
33
8
30
21
