wind direction (° (gr))
44
19
81
37
101
193
200
87
74
89
138
121
30
163
283
4
92
169
205
133
97
105
136
93
148
71
33
109
27
3
21
268
135
5
56
70
51
0
127
141
25
301
151
258
145
323
183
356
273
270
46
203
131
275
57
113
76
219
343
77
218
15
129
325
278
154
110
159
40
104
224
345
269
103
259
286
303
290
43
144
119
221
64
34
35
291
177
96
38
198
336
210
150
338
346
222
88
246
244
160
171
187
156
234
6
47
13
80
16
107
100
257
261
251
31
296
176
83
108
62
41
48
276
90
42
196
158
122
111
120
271
17
295
186
94
36
195
134
10
128
79
91
45
78
106
229
123
73
22
149
98
63
114
326
184
55
164
264
117
95
18
359
115
173
116
256
214
82
26
317
112
174
245
312
143
24
72
305
310
12
213
321
285
201
241
197
118
69
168
155
61
280
344
279
226
146
235
132
152
190
337
29
341
324
351
75
140
217
228
242
247
180
227
66
236
240
137
243
142
67
233
293
49
52
204
225
350
319
54
304
348
347
207
206
333
299
208
320
199
153
85
20
192
360
216
209
315
211
130
306
220
284
307
185
309
8
53
334
11
14
28
230
327
84
339
39
314
328
23
139
167
238
313
124
250
86
178
181
254
311
194
157
358
188
212
7
166
165
189
292
99
322
316
147
352
60
102
191
58
232
215
9
126
266
68
182
239
288
335
32
357
267
2
252
59
179
353
263
354
281
297
223
289
355
249
302
332
260
330
253
125
318
300
340
231
175
308
50
329
162
349
287
161
331
65
172
1
262
274
237
298
202
248
282
255
272
342
265
277
294
170
