atmospheric pressure max. in the previous hour (mb)
990.7
987.4
999.6
1015.0
1012.4
1007.7
994.7
1022.9
1006.2
989.4
1011.8
1004.8
985.3
1006.1
992.5
1001.9
987.2
990.9
1014.1
1005.9
1005.7
1010.7
1014.8
1011.6
1009.7
1008.0
1009.5
1006.5
1009.2
1009.6
985.0
1004.6
988.8
992.6
1012.0
997.9
981.9
940.5
954.6
998.9
0.0
1006.4
1011.2
987.7
1005.1
974.3
1004.4
1021.4
986.3
1014.5
1000.3
944.4
1012.5
939.0
1003.9
1007.5
945.0
1007.8
1008.5
1013.7
1011.9
1015.4
1010.2
960.4
993.2
990.2
1006.6
982.3
1007.9
1003.6
897.4
1010.4
1014.4
990.1
1012.1
942.6
960.0
991.0
942.3
938.2
1002.5
1001.1
992.8
1010.0
992.3
989.7
1003.8
996.0
1013.0
999.8
987.9
1004.7
969.5
952.5
989.8
983.4
1003.2
1003.5
988.3
1008.6
991.7
996.5
1007.0
991.5
1005.8
1017.1
987.3
1011.3
1006.3
993.5
981.6
985.9
1017.2
1003.0
1017.0
1011.7
955.1
1011.5
991.8
941.7
1006.0
1008.2
984.2
982.2
986.0
987.5
1007.1
1008.9
1008.4
995.3
1016.8
1004.5
944.6
1012.7
984.6
960.7
1012.8
941.4
1019.1
1021.6
1002.8
978.3
1005.0
985.1
1010.3
1006.7
1006.9
986.9
990.3
991.2
1007.4
1004.9
1005.6
986.1
1005.2
988.7
1002.4
988.6
1008.8
1003.4
941.9
1001.7
999.1
1009.4
1014.7
1014.0
939.4
1016.4
939.6
986.8
942.5
958.5
1014.2
986.4
936.7
1014.6
987.1
985.8
989.1
1009.1
1003.1
993.6
988.9
940.8
983.3
941.3
941.1
1010.6
1018.4
1008.7
961.0
952.1
1008.1
1010.9
982.1
1009.0
1015.5
981.1
1017.4
978.7
1017.8
1016.0
971.9
1005.3
1010.8
984.7
954.3
996.2
1002.2
991.3
943.6
1002.6
1014.3
985.7
940.3
983.2
985.6
959.5
997.6
1008.3
1020.4
1020.7
995.9
943.0
955.5
1005.4
1010.1
1000.9
940.7
1015.9
999.9
995.2
938.5
1009.3
1010.5
1009.8
992.4
955.3
1015.2
1021.8
981.8
1022.2
989.3
1021.3
982.6
940.0
1002.7
974.0
987.0
994.6
988.4
970.5
1017.3
945.8
993.1
990.0
1007.3
940.4
983.9
1013.4
1002.1
983.5
938.9
1021.9
937.2
994.4
992.9
994.5
1000.1
983.8
1002.0
971.1
942.4
1000.5
992.7
1013.9
996.1
992.1
1004.0
952.3
993.9
1012.2
935.9
1001.4
993.0
939.5
997.0
944.1
994.0
995.0
1007.6
990.4
1016.2
955.2
968.7
981.2
1003.7
991.4
1009.9
944.3
967.7
1002.3
986.6
956.0
1007.2
1021.2
980.6
971.0
994.9
943.1
982.4
953.2
