min. temperature in the previous hour (°c)
22.6
22.5
24.8
13.1
22.1
28.9
18.9
17.4
29.5
20.3
27.1
22.9
27.4
24.7
23.2
23.9
26.4
20.8
24.4
24.3
31.5
28.5
23.3
24.1
23.6
26.5
22.4
26.1
26.9
22.3
24.6
20.5
25.7
25.0
21.1
33.2
18.5
18.8
30.5
0.0
28.3
25.8
23.7
23.0
28.0
22.7
15.6
30.4
17.9
27.6
25.6
20.1
26.6
25.5
18.7
29.0
22.0
21.6
29.9
30.6
19.5
27.3
11.8
26.0
25.4
19.0
21.0
27.7
21.7
32.9
24.2
29.4
21.2
11.4
28.2
24.9
17.6
16.5
23.4
24.5
24.0
25.9
17.1
27.5
19.7
31.2
17.7
26.7
19.4
19.3
23.5
19.1
14.9
28.8
16.3
19.6
29.7
25.3
28.1
7.7
27.9
11.9
28.4
15.9
22.8
8.7
16.0
15.0
29.1
32.2
28.6
16.7
30.0
27.0
19.9
26.2
21.9
30.9
18.6
30.7
20.7
22.2
23.8
29.3
12.4
14.8
15.7
27.2
17.8
20.2
20.6
16.6
18.0
21.3
25.2
21.8
30.1
21.5
25.1
18.2
16.9
10.6
23.1
15.5
7.9
27.8
15.2
14.3
17.0
4.9
10.7
17.2
13.2
20.9
28.7
29.6
32.0
2.1
14.5
12.9
32.7
17.3
13.3
32.3
19.2
20.0
11.3
13.0
13.7
-2.0
26.8
34.0
19.8
32.1
17.5
32.8
11.2
14.6
18.3
20.4
30.2
31.0
26.3
16.1
14.7
13.5
15.1
31.3
15.8
32.4
18.4
31.6
10.9
13.6
14.2
30.3
4.0
31.1
12.3
18.1
6.1
15.3
33.0
34.7
13.4
9.6
33.7
11.1
11.5
35.2
29.2
16.2
13.8
13.9
31.4
32.6
14.4
21.4
33.8
31.7
11.7
34.9
7.8
35.6
6.0
16.8
36.3
12.6
35.1
3.0
8.4
16.4
31.9
33.6
2.5
34.3
34.1
29.8
33.5
34.4
0.8
12.7
37.0
9.8
10.0
9.0
33.1
12.5
6.9
12.8
33.4
14.1
10.2
7.0
3.1
12.2
32.5
8.1
31.8
4.2
15.4
30.8
8.8
12.0
14.0
0.9
12.1
10.8
35.0
7.6
10.3
10.1
-2.2
-1.8
33.9
8.9
37.6
8.0
34.6
34.5
35.7
11.6
11.0
9.9
34.2
36.2
10.4
