air relative humidity (%)
0
86
89
62
66
51
71
64
93
49
84
91
45
94
54
65
40
75
81
97
82
46
73
77
87
53
96
92
83
69
90
85
36
76
78
44
74
39
52
79
50
88
35
25
57
70
68
72
95
67
60
58
48
56
31
55
80
59
61
43
14
98
47
38
11
29
63
42
15
41
28
37
26
32
33
30
27
34
16
13
17
