total precipitation (mm)
0.0
3.0
0.2
1.2
9.8
0.8
5.4
4.2
12.6
9.4
0.4
10.0
2.6
7.4
1.0
7.6
1.4
2.0
1.6
28.8
1.8
0.6
2.8
6.6
2.2
25.4
26.2
12.2
6.4
13.2
7.0
4.4
13.4
17.4
3.2
13.0
4.6
5.0
3.8
6.2
3.6
38.6
21.4
12.0
6.0
4.0
19.0
6.8
5.8
4.8
2.4
8.6
3.4
10.8
